No,Test,lprice,SDC PRICE,CELLPRICE,STERLING,INVITRO,UNIPRICE,Sample,,
299,MYGLOBULIN SERUM,600,,,,,,SERUM,,
300,MYGLOBULIN URINE,600,,,,,,URINE,,
301,N Mo Ab,3600,,,,,,SERUM,,
302,Na,200,,,,,,SERUM,,
303,NA & K,400,,,,,,SERUM,,
304,OCCUPATIONAL HEALTH CHECK,3000,,,,,,WBEDTA;SERUM;URINE;PPBSFL;PPUS,,
305,Opthalmic Examination,150,,,,,,MER,,
306,OSMOLALITY Serum,650,,,,,,SERUM,,
307,OSMOLALITY Urine,650,,,,,,URINE,,
308,Osmotic Fragility Test,1000,,,,,,WBHEP;WBEDTA;SERUM,,
309,PAP SMEAR,250,,,,,,SMEAR,,
310,Paraneoplastic Marker(Neurological Ag pr,4500,,,,,,SERUM,,
311,PARATHYROID HORMONE (PTH),750,,,,,,WBEDTA,,
312,PFT,800,,,,,,PFT,,
313,PG2BS,50,,,,,,PG2BSFL;URINE,,
314,PHENYTOIN (EPTOIN;DILANTIN),650,,,,,,SERUM,,
315,PHOSPHURUS,200,,,,,,SERUM,,
316,Pidilite Check Up,500,,,,,,WBEDTA;SERUM;URINE,,
317,PLATLET COUNT,200,,,,,,WBEDTA,,
318,PLEURAL FLUID R/M,600,,,,,,PLEURALFLUID,,
319,Pnemocystitis Carini,500,,,,,,SPUTUM OR BAL,,
320,Pneumo Slide Panel,4000,,,,,,,,
321,POC for Cytogenetic Analysis,5700,,,,,,POC IN GENTAMYCIN,,
322,PORPHOBILINOGEN urine,200,,,,,,URINE,,
323,Post Dinner Blood Sugar,50,,,,,,PDBSFL;PDUS,,
324,POTASSIUM,200,,,,,,SERUM,,
325,PPBS,40,,,,,,PPBSFL;PPUS,,
326,PRE Angio Profile,450,,,,,,WBEDTA;SERUM;URINE,,
327,PRE OP MAJOR PROFILE,1200,,,,,,WBEDTA;SERUM;URINE;CITRATEPLASMA,1,2
328,PRE OP MAJOR PROFILE Extended,1800,,,,,,WBEDTA;SERUM;URINE;CITRATEPLASMA,1,2
329,PRE OP MINOR PROFILE,700,,,,,,WBEDTA;SERUM;URINE,,
330,PRE OP MINOR PROFILE Extended,1200,,,,,,WBEDTA;SERUM;URINE,,
331,Pregnance Test,200,,,,,,URINE,,
332,PRO CALCITONIN (PCT),2500,,,,,,SERUM,,
333,PROGESTERON,450,,,,,,SERUM,,
334,PROLACTIN,450,,,,,,SERUM,,
335,"Prolactin Pooled (0,20,60)",650,,,,,,SERUM,"6,20,60",
336,PROTEIN ALB GLOB WITH AG Ratio,200,,,,,,SERUM,,
337,PROTEIN C,2700,,,,,,CITRATEPLASMA,,
338,Protein Electrophoresis,800,,,,,,SERUM,,
339,PROTEIN S,2700,,,,,,CITRATEPLASMA,,
340,PS FOR MP,150,,,,,,WBEDTA,,
341,PSA,600,,,,,,SERUM,,
342,PT,250,,,,,,CITRATEPLASMA,,
343,PTH,750,,,,,,WBEDTA,,
344,Pus RM,600,,,,,,PUS,,
345,Quad Marker Scree(15-21 Weeks),2800,,,,,,SERUM,,
346,RA (RF),300,,,,,,SERUM,,
347,RBS,70,,,,,,SERUM;URINE,,
348,RBS 6 HOURLY,300,,,,,,RBSFL;RUSFL,,
349,Renal Function Tests (RFT),700,,,,,,SERUM;URINE,,
350,RENIL LEVEL,3200,,,,,,SERUM,,
351,RETIC COUNT,200,,,,,,WBEDTA,,
352,RPR,300,,,,,,SERUM,,
353,Rubella IgM,350,,,,,,SERUM,,
354,RUBELLIA IgG,350,,,,,,SERUM,,
355,SBI Cat D,0,,,,,,PLAIN;MER,,
356,Scrub Typhus Serology,1600,,,,,,SERUM,,
357,SEMEN Examination,250,,,,,,SEMEN,,
358,SERUM OSMOLALITY,650,,,,,,SERUM,,
359,Serum protein electrophoresis,800,,,,,,SERUM,,
360,SGOT,200,,,,,,SERUM,,
361,SGPT,200,,,,,,SERUM,,
362,SICKLING TEST,300,,,,,,WBEDTA,,
363,SODIUM,200,,,,,,SERUM,,
364,Sputum  for A.F.B.,200,,,,,,SPUTUM,,
365,Sputum  for A.F.B. 3 days,600,,,,,,SPUTUM1;SPUTUM2;SPUTUM3,,
366,SPUTUM EXAMINATION,600,,,,,,SPUTUM,,
367,STONE ANALYSIS,600,,,,,,STONE,,
368,STOOL H PYLORI ANTIGEN,1400,,,,,,STOOL,,
