300,POC for Cytogenetic Analysis,5000,
301,PORPHOBILINOGEN urine,200,
302,Post Dinner Blood Sugar,30,
303,POTASSIUM,100,
304,PPBS,30,
305,PRE OP MAJOR PROFILE,,
306,PRE OP MAJOR PROFILE (SH),,
307,PRE OP MAJOR PROFILE Extended,,
308,PRE OP MINOR PROFILE,,
309,PRE OP MINOR PROFILE Extended,,
310,Pregnance Test,150,
311,PRO CALCITONIN (PCT),2200,
312,PROGESTERON,280,
313,PROLACTIN,200,
314,"Prolactin Pooled (0,20,60)",250,
315,PROTEIN ALB GLOB WITH AG Ratio,100,
316,PROTEIN C,2700,
317,Protein Electrophoresis,450,
318,PROTEIN S,3200,
319,Prothrombin gene mutation (Factor II or Prothrombin G20210A),3000,
320,PS FOR MP,80,
321,PSA,280,
322,PT,200,
323,PTH,550,
324,Pus RM,450,
325,Quad Marker Scree(15-21 Weeks),1800,
326,RA (RF),250,
327,RBS,30,
328,Renal Function Tests (RFT),,
329,RENIL LEVEL,3200,
330,RETIC COUNT,150,
331,Rubella IgM,250,
332,RUBELLIA IgG,250,
333,Scrub Typhus Serology,1400,
334,SEMEN Examination,250,
335,SERUM OSMOLALITY,400,
336,Serum protein electrophoresis,400,
337,SGOT,100,
338,SGPT,100,
339,SICKLING TEST,200,
340,SODIUM,100,
341,Sputum  for A.F.B.,150,
342,Sputum  for A.F.B. 3 days,400,
343,SPUTUM EXAMINATION,450,
344,STONE ANALYSIS,1150,
345,STOOL R&M,200,
346,Stool RM 3 Days,500,
347,Stool RM 5 Days,800,
348,SUGAR FBS AND PPBS,60,
349,SYNOVIAL FLUID EXAMINATION,450,
350,T3,150,
351,T3 T4 TSH,300,
352,T4,150,
353,Tacrolimus Level,2200,
354,TB GOLD GAMMA INTERFERON,2200,
355,TB PCR,1500,
356,TESTOSTERONE LEVEL,280,
357,Thyrotropin(TSH) Receptor Ab (TRAb),2000,
358,TIBC,400,
359,TORCH COMPLEX 10 PARAMETER,1500,
360,TORCH COMPLEX 8 PARAMETER,1200,
361,Toxoplasma IgG,250,
362,Toxoplasma IgM,250,
363,TPAB (Total Syphilis Ab),,
364,TPHA,400,
365,Triglycerides,100,
366,Triple Marker (15 to 21 Weeks),2000,
367,TROPONIN T,1000,
368,TROPONIN-I,550,
369,TSH,150,
370,tTG IgA,,
371,tTG IgG,,
372,TUBERCULIN TEST,,
373,TYPHI DOT IgM ELISA,300,
374,TYPHI DOT IgM/IgG,300,
375,UPT,150,
376,UREA,100,
377,URIC ACID,100,
378,URINE ABL/CREAT RATIO(Spot),350,
379,URINE AFB,200,
380,Urine Cloride,100,
381,Urine Potassium,100,
382,Urine Screen for Amphetamine,,
383,Urine Screen for Cannabinoids,,
384,Urine Screen for Opiates,,
385,Urine Sodium,100,
386,Vaccination Titer MMR,,
387,VALPROIC ACID,480,
388,Varicella Zoster Vaccination T,,
389,varicella-zoster virus IgG,,
390,varicella-zoster virus IgM,,
391,Variconazole Level,,
392,VDRL/RPR,200,
393,Viral Load HCV,,
394,Weil�Felix test,,
395,Widal,,
