,Test,Price_old,Aapm,Price,Cap_Check,Bottom_Check
338,SYNOVIAL FLUID EXAMINATION,450,600,560,40.00,-2
339,T3,150,200,180,20.00,-6
340,T3 T4 TSH,300,600,480,120.00,84
341,T4,150,200,180,20.00,-6
342,Tacrolimus Level,2200,2500,"2,500",0.00,-200
343,TB GOLD GAMMA INTERFERON,2200,3000,"2,750",250.00,0
344,TB PCR,1500,4000,"1,880","2,120.00",4
345,TESTOSTERONE LEVEL,280,550,350,200.00,0
346,Thyrotropin(TSH) Receptor Ab (TRAb),2000,2500,"2,500",0.00,0
347,TIBC,400,450,450,0.00,-40
348,TORCH COMPLEX 10 PARAMETER,1500,2400,"1,880",520.00,4
349,TORCH COMPLEX 8 PARAMETER,1200,2000,"1,500",500.00,0
350,Toxoplasma IgG,250,400,320,80.00,6
351,Toxoplasma IgM,250,400,320,80.00,6
352,TPHA,400,600,500,100.00,0
353,Triglycerides,100,250,120,130.00,-4
354,Triple Marker (15 to 21 Weeks),2000,3000,"2,500",500.00,0
355,TROPONIN T,1000,1000,"1,000",0.00,-200
356,TROPONIN-I,550,1000,700,300.00,10
357,TSH,150,250,200,50.00,10
358,tTG IgA,800,1000,"1,000",0.00,0
359,tTG IgG,800,1000,"1,000",0.00,0
360,TUBERCULIN TEST,120,200,150,50.00,0
361,TYPHI DOT IgM ELISA,300,600,380,220.00,4
362,TYPHI DOT IgM/IgG,300,600,380,220.00,4
363,UPT (Pregnancy Test),150,300,200,100.00,10
364,UREA,100,250,120,130.00,-4
365,URIC ACID,100,250,120,130.00,-4
366,URINE ABL/CREAT RATIO(Spot),350,850,440,410.00,2
367,URINE AFB,200,250,250,0.00,0
368,Urine Cloride,100,250,140,110.00,12
369,Urine Potassium,100,250,140,110.00,12
370,Urine Sodium,100,250,140,110.00,12
371,Vaccination Titer MMR,1500,2500,"1,880",620.00,4
372,VALPROIC ACID,480,800,600,200.00,0
376,VDRL/RPR,200,400,250,150.00,0
379,Widal,100,300,120,180.00,-4
